# BEAST v1.10.5 Prerelease #23570d1																			
# Generated Fri Jun 30 14:21:54 CEST 2023 [seed=1688127711194]																			
# -beagle_gpu -beagle_order 1 -overwrite -load_state checkpoint.state -save_every 10000 -save_state resumed.state -force_resume b.1.1.7.xml																			
state	joint	prior	likelihood	treeModel.rootHeight	age(root)	treeLength	exponential.popSize	exponential.doublingTime	kappa	frequencies1	frequencies2	frequencies3	frequencies4	alpha	clock.rate	meanRate	treeLikelihood	branchRates	coalescent
40000000	-54547.16525	-2593.777623	-51953.38763	0.32145726	2020.67581	65.39030784	1245.304217	0.019262104	8.909162246	0.295462886	0.180317883	0.188832115	0.335387116	0.098629968	4.91E-04	4.91E-04	-51953.38763	0	-2584.131842
40500000	-54539.5527	-2569.691917	-51969.86079	0.354434559	2020.642833	63.23363526	529.6388587	0.022734037	8.741365837	0.29271635	0.178636068	0.19999545	0.328652132	0.009799257	5.46E-04	5.46E-04	-51969.86079	0	-2560.914828
41000000	-54558.94211	-2557.594859	-52001.34725	0.351406159	2020.645862	61.72472629	679.1022318	0.020996877	8.100439393	0.291306137	0.181628741	0.19129265	0.335772472	0.103105955	5.49E-04	5.49E-04	-52001.34725	0	-2548.567592
41500000	-54527.48363	-2546.624385	-51980.85925	0.307132638	2020.690135	62.62910419	814.8887301	0.020642766	8.147147113	0.290914264	0.183296481	0.191567597	0.334221658	0.029320714	5.52E-04	5.52E-04	-51980.85925	0	-2537.565362
42000000	-54578.63907	-2600.670331	-51977.96874	0.306892788	2020.690375	65.39149441	1256.260504	0.0193823	9.057871547	0.29378753	0.177901106	0.18930127	0.339010094	0.068317462	5.17E-04	5.17E-04	-51977.96874	0	-2591.012789
42500000	-54525.64365	-2563.221299	-51962.42235	0.345267566	2020.652	63.51288893	896.9207354	0.020423303	7.704106505	0.294480735	0.184321069	0.187514049	0.333684147	0.087013638	5.31E-04	5.31E-04	-51962.42235	0	-2554.078445
43000000	-54590.4126	-2649.228026	-51941.18458	0.317276729	2020.679991	66.56682078	1104.221082	0.02033483	6.80094551	0.289825278	0.181821517	0.194793026	0.333560179	0.070696146	5.09E-04	5.09E-04	-51941.18458	0	-2640.151118
43500000	-54458.13286	-2499.714291	-51958.41857	0.299775927	2020.697492	63.0755808	1545.652287	0.018236199	7.886437306	0.292243999	0.1806168	0.192770351	0.33436885	0.064842846	5.65E-04	5.65E-04	-51958.41857	0	-2490.081568
44000000	-54365.70617	-2388.927917	-51976.77825	0.288060478	2020.709207	58.92434757	985.9312658	0.018770236	7.315794594	0.29677654	0.177100618	0.193288	0.332834842	0.105006132	5.67E-04	5.67E-04	-51976.77825	0	-2379.749405
44500000	-54328.31564	-2376.00153	-51952.31411	0.302930023	2020.694338	59.04014293	1253.458967	0.017912099	7.074106413	0.292254236	0.178904259	0.196566375	0.33227513	0.065878451	5.85E-04	5.85E-04	-51952.31411	0	-2366.734434
45000000	-54418.30714	-2491.700596	-51926.60655	0.317167078	2020.680101	61.35033348	909.007734	0.019855149	8.247598367	0.295675835	0.180201981	0.190357757	0.333764427	0.130590547	5.66E-04	5.66E-04	-51926.60655	0	-2482.318985
