# BEAST v1.8.3
# Generated Wed Jul 26 13:02:49 BST 2017 [seed=1501070568031]
# -beagle IVA_PB1.xml
state	posterior	prior	likelihood	treeModel.rootHeight	tmrca(human)	tmrca(swine)	constant.popSize	kappa	frequencies1	frequencies2	frequencies3	frequencies4	clock.rate	human.rate	swine.rate	meanRate	coefficientOfVariation	covariance	treeLikelihood	branchRates	coalescent
58000	-29726.015769463556	-703.2208876384987	-29022.79488182506	126.77999593076396	93.7281711638383	81.29605165743874	103.79896266317907	14.297910162846783	0.3138678238305512	0.20760362210401812	0.2108272015100654	0.26770135255536515	0.001648345196640454	0.0012644454072079816	0.0023034922815091266	0.0016549046771954985	0.19994715152070458	0.985560731085202	-29022.79488182506	0.0	-696.7116075317344
59000	-29724.015694470076	-703.2329177912078	-29020.78277667887	131.451472577186	92.68735140024982	81.29605165743874	112.27623855301415	14.80704051963749	0.3095132634644337	0.19914582085225083	0.22161877569945113	0.2697221399838642	0.0015747506795803375	0.0012602131955814695	0.0022797609666864115	0.001592777264855694	0.2054438148585549	0.9851705932660835	-29020.78277667887	0.0	-696.701410995329
60000	-29707.23916626392	-703.9222403607854	-29003.316925903135	128.56587634974207	92.94823365697263	82.48785123624845	100.0004974373712	14.80704051963749	0.32510814556724205	0.19697258388090857	0.21637002398098218	0.26154924657086703	0.0015754622658149568	0.0013550719618870839	0.002129368794970387	0.0015934871101796282	0.15807062160479243	0.984998804450098	-29003.316925903135	0.0	-697.508329907674
61000	-29708.6863132915	-704.4845077492827	-29004.201805542216	124.58801113959876	94.13441447941288	82.87560818972528	105.78730177694297	14.63020199514219	0.31957188556635924	0.20296736540744684	0.21082529354515472	0.26663545548103906	0.0015774922316441342	0.0012434376703524086	0.002074669010973717	0.001579033722049366	0.16800263499489407	0.9857325531446142	-29004.201805542216	0.0	-698.156455739791
62000	-29707.075850494068	-704.7541927818783	-29002.32165771219	126.32948608771139	91.84613921716141	82.87560818972528	100.12735141352324	14.63020199514219	0.3240329648286909	0.20393571304364666	0.2091349765293269	0.26289634559833547	0.0016344463620666999	0.001295189165023933	0.0017949010038569506	0.0016115645242116938	0.10664580524391566	0.9858904337686274	-29002.32165771219	0.0	-698.4821668756344
63000	-29714.94340302073	-705.9619951319333	-29008.981407888798	126.15762078990791	92.3162103081706	82.17434074481997	120.17124404602015	13.221794780106002	0.3163429893398676	0.20208709563327146	0.22509388220197604	0.2564760328248848	0.0015713645426389195	0.001372653674647998	0.002092996538515031	0.0015897154598420828	0.14805819961482047	0.9849335333024367	-29008.981407888798	0.0	-699.6078774130186
64000	-29713.778802795907	-707.0566656122528	-29006.722137183653	128.48549372117847	91.90435671153291	81.58888915327064	103.79414400353741	14.147867744943852	0.3253266006632951	0.2033117926024152	0.21269383803070593	0.25866776870358366	0.0015510037556263378	0.0013330563864714876	0.002032212516367308	0.0015639467560844753	0.14469496881358584	0.9851930672833112	-29006.722137183653	0.0	-700.7859631219862
65000	-29710.90926928764	-706.7782722411497	-29004.13099704649	128.94810877458175	92.46189551237978	82.6005706744465	101.0967663724598	14.147867744943852	0.3205898866403296	0.1986357039576633	0.20777470709097448	0.2729997023110326	0.0015010210503783002	0.001348974408752183	0.001953641975737573	0.0015195969880870451	0.13148787335978718	0.9847470925841515	-29004.13099704649	0.0	-700.6498573607302
66000	-29712.608993841844	-707.6506724242387	-29004.958321417605	127.72137726795822	92.46189551237978	81.14121275926041	115.2788302436454	13.997444425542506	0.31831456929135316	0.19755436402702653	0.22047741147090044	0.26365365521071976	0.0015670719801384825	0.001291092802805023	0.0022404484241339705	0.0015871314270918561	0.19312337653822312	0.9850433055740047	-29004.958321417605	0.0	-701.2095534447353
67000	-29725.56892609947	-708.1449455536228	-29017.423980545846	130.12998590471713	92.54505243606218	81.9761476190501	104.14904142220553	16.83389739511842	0.29726684654957697	0.21262493442181138	0.2212474549798549	0.26886076404875664	0.0015719308464829487	0.0014097503017051428	0.00203419986271193	0.0015886217865717026	0.12942460698176786	0.9848109735335397	-29017.423980545846	0.0	-701.4090318365904
