lab-id,country,admin1
362_EMLH,SLE,WesternUrban
75688_EMLH,SLE,WesternRural
J0012,SLE,PortLoko
J0014,SLE,PortLoko
KT5243,SLE,?
J0013,SLE,PortLoko
G3752,SLE,Kailahun
G3913.1,SLE,Kenema
EM112,SLE,Kailahun
G4333.1,SLE,Kailahun
G4250.1,SLE,Kailahun
G4299.1,SLE,Kailahun
LIBR10048,LBR,?
LIBR0092,LBR,Montserrado
LIBR10026,LBR,Margibi
LIBR10270,LBR,?
LIBR10101,LBR,?
CDC-NIH-3874,LBR,Montserrado
LIBR0333,LBR,GrandCapeMount
G5756.1,SLE,?
PL4804,SLE,PortLoko
PL4844,SLE,PortLoko
PL4119,SLE,PortLoko
PL4197,SLE,PortLoko
PL4284,SLE,PortLoko
PL4785,SLE,PortLoko
PL5275,SLE,PortLoko
PL5534,SLE,PortLoko
PL5950,SLE,PortLoko
PL5674,SLE,PortLoko
PL4443,SLE,PortLoko
PL4813,SLE,PortLoko
PL4932,SLE,PortLoko
PL4886,SLE,PortLoko
PL4283,SLE,PortLoko
704_EMLH,SLE,?
PL5133,SLE,PortLoko
PL4203,SLE,PortLoko
