# BEAST v1.9.0 Prerelease #0fccb02
# Generated Wed Aug 16 14:34:38 CEST 2017 [seed=1502886874084]
# -beagle_SSE batRABV_6Pglm.xml
state	host.coefficients1	host.coefficients2	host.coefficients3	host.coefficients4	host.coefficients5	host.coefficients6	host.coefIndicators1	host.coefIndicators2	host.coefIndicators3	host.coefIndicators4	host.coefIndicators5	host.coefIndicators6	host.coefficientsTimesIndicators1	host.coefficientsTimesIndicators2	host.coefficientsTimesIndicators3	host.coefficientsTimesIndicators4	host.coefficientsTimesIndicators5	host.coefficientsTimesIndicators6
55500000	-0.5491223186445963	-1.2108678790192156	2.652245687955658	0.04761864959025769	1.4125754581192835	-0.031527840126352846	1.0	0.0	0.0	0.0	0.0	0.0	-0.5491223186445963	-0.0	0.0	0.0	0.0	-0.0
55550000	-0.5004666502634473	0.9080907107414058	0.21991097884033622	-1.7713249206728274	-0.03341201769633246	1.1022455310625316	1.0	0.0	0.0	0.0	0.0	0.0	-0.5004666502634473	0.0	0.0	-0.0	-0.0	0.0
55600000	-0.7264848425879136	0.6819522614251737	4.371350430458712	-1.627705980664738	1.7842892699560078	-1.3360558487332344	1.0	1.0	0.0	0.0	0.0	0.0	-0.7264848425879136	0.6819522614251737	0.0	-0.0	0.0	-0.0
55650000	-0.6273413365649276	0.7117823487694782	-1.6957794342518708	-0.3915907667158179	-0.23992293887916072	4.045717938068718	1.0	1.0	0.0	0.0	0.0	0.0	-0.6273413365649276	0.7117823487694782	-0.0	-0.0	-0.0	0.0
55700000	-0.6473233071415938	0.7546239098111589	-1.981636981220548	-1.3687657375756517	1.7894256969723195	-2.3713942001158275	1.0	1.0	0.0	0.0	0.0	0.0	-0.6473233071415938	0.7546239098111589	-0.0	-0.0	0.0	-0.0
55750000	-0.6140201161929987	-1.794530366521043	2.1868775526756874	-0.19566709522984393	2.4252848933089792	-0.180703471338655	1.0	0.0	0.0	0.0	0.0	0.0	-0.6140201161929987	-0.0	0.0	-0.0	0.0	-0.0
55800000	-0.5261250447242752	-1.157713713053989	2.3539411656851312	0.9217201321827452	-0.35513469907216855	-0.22692077704715663	1.0	0.0	0.0	0.0	0.0	0.0	-0.5261250447242752	-0.0	0.0	0.0	-0.0	-0.0
55850000	-0.582723138607534	0.44225465613233256	-2.499581978562096	-0.11062974480808041	2.1073478872438156	-4.872797165399737	1.0	1.0	0.0	1.0	0.0	0.0	-0.582723138607534	0.44225465613233256	-0.0	-0.11062974480808041	0.0	-0.0
55900000	-0.5952178267213466	0.6913042665169906	-0.05493641017852918	2.0479895814841993	0.5005141996006958	2.666630876406755	1.0	1.0	0.0	0.0	0.0	0.0	-0.5952178267213466	0.6913042665169906	-0.0	0.0	0.0	0.0
55950000	-0.6974707238726188	0.821980082827572	0.9554716676153748	0.8499618480696537	0.24591276312766835	1.030972718434064	1.0	1.0	0.0	0.0	0.0	0.0	-0.6974707238726188	0.821980082827572	0.0	0.0	0.0	0.0
